ANWAR RIDWAN,499.221 ANW,DEWAN BAHASA DAN PUSTAKAN,-,-,57,-,-,-,-,-,-
SALEH AHMAD,499.28 SAL,SASBADI,-,-,169,9789835998386,-,-,-,-,-
ADRA ADLINA,899.233 RAM,BUKU PRIMA,-,-,524,9789675234460,-,-,-,-,-
ADRA ADLINA,899.233 ADR,BUKU PRIMA SDN. BHD.,-,-,524,9789675234460,-,-,-,-,-
HASSAN BASERI BUDIMAN,899.233 HAS,ITBN,KUALA LUMPUR,2015,378,9789674600587,-,-,-,-,-
EMY,787.8 EMY,EMY & COCOBEN,MALAYSIA,-,46,9789675559648,-,-,-,-,-
LAILA KAMILIA,899.233 LAI,ALAF 21,-,-,344,9789831242926,-,-,-,-,-
LAILA KAMILIA,899.233 MIS,ALAF 21,-,-,344,9789831242926,-,-,-,-,-
YUSUF LIU BAOJUN,910.92 YUS,CM DIVERSE SDN BHD,MALAYSIA,2021,166,9789671638774,-,-,-,-,-
HAMDAN MOHD ALI,297 HAM,PUSTAKA ILMI,-,-,24,9789830986371,-,-,-,-,-
DR. MAJID RAMADHAN,297 DR.,SYNERGY MEDIA,-,-,208,9789673713332,-,-,-,-,-
SHAHNON AHMAD,899.233 SHA,DEWAN BAHASA DAN PUSTAKA,-,-,277,9789834601232,-,-,-,-,-
SHAHNON AHMAD,899.233 SHA,DEWAN BAHASA DAN PUSTAKA,-,-,277,9789834601232,-,-,-,-,-
SHAHNON AMAD,899.233 SHA,DEWAN BAHASA DAN PUSTAKA,-,-,277,078073004997,-,-,-,-,-
SHAHNON AHMAD,899.233 SHA,DEWAN BAHASA DAN PUSTAKA,-,-,277,9789834601232,-,-,-,-,-
MARGARET CARRUTHERS,525 MAR,OXFORD,-,-,48,9780199109456,-,-,-,-,-
PROF DATO DR ASMAH HAJI OMAAR,428 PRO,ARCHIPELAGO PRESS,-,-,144,9789813018525,-,-,-,-,-
-,615 -,-,-,-,137,-,-,-,-,-,-
KAMARUDDIN HAJI HUSIN,499.23 KAM,UTUSAN PUBLICATIONS & DISTRIBUTORS SDN BHD,KUALA LUMPUR,1995,159,1000816322,-,-,-,-,-
MATT STAUFFER,005.140 MAT,O'REILLY,-,2019,519,9781492041214,-,-,-,-,-
RIZMAN SAMARY AHMAD,499.28 RIZ,SUMBER ILMU,-,-,36,9789833835218,-,-,-,-,-
JACKSON TELLER,796.42 JAC,ITBN,KUALA LUMPUR,2014,32,9789674302924,-,-,-,-,-
YEO MOY KIM,511 YEO,PELANGI,-,-,48,9789835032325,-,-,-,-,-
YEO MOY KIM,511.2 YEO,PELANGI,-,-,48,9789835032325,-,-,-,-,-
JONATHAN NORTON LEONARD,641 JON,TIME LIFE BOOKS,-,1968,-,-,-,-,-,-,-
NOOR JOHA AHMAD,641.5 NOO,UTUSAN PUBLICATIONS,-,2008,98,9789676121677,-,-,-,-,-
KEITH,741.6 KEI,KADOKAWA GEMPAK STARZ,-,-,116,9789833882106,-,-,-,-,-
NISHIKI,741.6 NIS,KADOKAWA GEMPAK STARZ,-,2023,137,9786297563466,-,-,-,-,-
NISHIKI,741.6 NIS,KADOKAWA GEMPAK STARZ,-,2023,137,9786294791084,-,-,-,-,-
NISHIKI,741.6 NIS,KADOKAWA GEMPAK STARZ SDN BHD,-,-,142,9789672381761,-,-,-,-,-
LATIFF MOHIDIN,899.232 LAT,INSTITUT TERJEMAHAN NEGARA MALAYSIA,-,-,83,9789830683812,-,-,-,-,-
JON L. PIERCE,658.8 JON,MC GRAW HILL,-,-,495,-,-,-,-,-,-
TIM A. FLANAGAN,658.4 TIM,JOSSEY BASS,-,-,239,9781118380574,-,-,-,-,-
ISSA BASS,515 ISS,MC GRAW HILL,-,-,362,9780071621304,-,-,-,-,-
TED HAGOS,608 TED,APRESS,-,2018,469,9781484239063,-,-,-,-,-
TED HAGOS,608 TED,APRESS,-,2018,469,9781484239063,-,-,-,-,-
TED HAGOS,608 TED,APRESS,PHILIPPINES,2020,324,9781484259368,-,-,-,-,-
DR ANITA,495 DR,CRESCENT NEWS,SELANGOR,2007,297,9789830610672,-,-,-,-,-
NICK FREETH,787 NIC,PARRAGON,UK,2008,96,9781407539775,-,-,-,-,-
STANLY W.JOHSON,371.1 STA,"LIBARY OF CONGRESS CATALOGING IN
PUBLICATION DATA",-,-,436,-,-,-,-,-,-
JENNA OOI,420 JEN,SAP,-,-,148,9789673210602,-,-,-,-,-
MARC LOY,621.391 MAR,O'REILLY MEDIA,-,2020,495,9781492056270,-,-,-,-,-
MARC LOY,621.391 MAR,O'REILLY MEDIA,-,2020,495,9781492056270,-,-,-,-,-
ABDUL LATIP TALIB,297.64 ABD,PTS LITERA UTAMA,-,-,344,9789675136160,-,-,-,-,-
KHAILANI A JALIL,923.7 KHA,MEDIA SINAR HARAPAN,-,-,234,9789671338643,-,-,-,-,-
RAMLEE AWANG MURSHID,899.233 RAM,GRUP BUKU KARANGKRAF,MALAYSIA,2017,547,9789674463922,-,-,-,-,-
AMINAH MOKHTAR,899.233 AMI,UTUSAN PUBLICATIONS SDN.BHD,-,2001,138,9789676112309,-,-,-,-,-
MUHAMMAD DANIAL RAMLI,909.049 MUH,HIJJAZ RECORDS PUBLISHING,MALAYSIA,2023,211,9789672278702,-,-,-,-,-
SHAARI ISA,899.233 SHA,DEWAN BAHASA DAN PUSTAKA,-,-,479,9559831378358,-,-,-,-,-
SHAARI ISA,899.233 SHA,DEWAN BAHASA DAN PUSTAKA,-,-,479,9559831378358,-,-,-,-,-
TAN YAN HOON,741.6 TAN,COMIC HOLIC SDN. BHD,-,2022,127,9789670041094,-,-,-,-,-
MARION SMOOTHEY,529 MAR,FEDERAL PUBLICATIONS,-,-,64,9789833001361,-,-,-,-,-
MARION SMOOTHEY,529 MAR,FEDERAL PUBLICATIONS,-,-,64,9789833001248,-,-,-,-,-
MARIO SMOOTHEY,529 MAR,FEDERAL,-,-,64,9789833001729,-,-,-,-,-
NORHAFSAH HAMID,158.100 NOR,IMAN PUBLICATION,-,100,-,9789672459897,-,-,-,-,-
CHIN PEN LEN,823 CHI,PUSTAKA CINTA TINGGI,-,-,76,9789830235073,-,-,-,-,-
SYED OSMAN SYED YUSOFF,779 SYE,ITBN,KUALA LUMPUR,2016,123,9789674601423,-,-,-,-,-
SULAIMAN DUFFORD,297 SUL,INSTITUSI TERJEMAHAN NEGARA MALAYSIA,-,-,248,9789830685250,-,-,-,-,-
MOHD RIDUAN SALLEH,320 MOH,PCT,-,-,44,9789833577446,-,-,-,-,-
NAZRI MUHD,681 NAZ,SIRI MEDIA INTERAKTIF ANDROID & KOMPUTER,-,-,112,-,-,-,-,-,-
MATILDA XAVIER,420 MAT,SASBADI,-,-,56,9789835949685,-,-,-,-,-
CHO CHO NYUN,420 CHO,PRESTON,-,-,161,9789831580608,-,-,-,-,-
LOUISA MAY ALCOTT,420 LOU,COMPPAS PUBLISHING,-,-,86,9781599662657,-,-,-,-,-
LOUISA MAY ALCOTT,820.8 LOU,EARLY LEARNER PUBLICATIONS SDN BHD,-,-,228,9789833324231,-,-,-,-,-
ALISON SAGE,420 ALI,COLLONS BIG CAT,-,-,31,9780007231188,-,-,-,-,-
CLAUDIA MILLS,820.8 CLA,SCHOLASTIC,-,-,151,-,-,-,-,-,-
RICHARD MACANDREW,428 RIC,CAMBRIDGE,-,-,48,9780521795067,-,-,-,-,-
AMALINA AMALIN,499.23 AMA,SEJATI,-,-,60,9789831542217,-,-,-,-,-
DELLA SUMMERS,423 DEL,LONGMAN,ENGLAND,2005,1949,9781405811262,-,-,-,-,-
NOOR AZILAWATI MOHD SABDA,499.23 NOO,PINANG SDN BHD,-,-,54,9789830555027,-,-,-,-,-
ENID BLYTON,820 ENI,AWARD PUBLICATIONS LIMITED,-,-,190,9780861635870,-,-,-,-,-
TUNKU ABDUL RAHMAN PUTRA,901 TUN,TUNKU ABDUL RAHMAN PUTRA,-,-,380,-,-,-,-,-,-
OSCAR WILDE,828 OSC,OXFORD,-,-,60,9780194243988,-,-,-,-,-
JOSEPH CONRAD,828 JOS,OXFORD,-,-,74,9780195852639,-,-,-,-,-
AMBER ROSE,641.8 -,KYLE BOOKS,SINGAPORE,2013,208,9789812753830,-,-,-,-,-
AIDA MUNIRA,899.233 RAM,BUKU PRIMA,-,-,380,9789833669271,-,-,-,-,-
DANIEL SHANKAR,899.230 DAN,SYAHIDA HASSAN ENTERPRISE,MALAYSIA,2022,301,9789672378488,-,-,-,-,-
HAJI MOHAMAD BIN JUSOH,499 HAJ,BUKU PRIMA,-,-,96,9789675489587,-,-,-,-,-
HAMDAN MOHD ALI,297 HAM,PUSTAKA ILMI,-,-,24,9789830986326,-,-,-,-,-
MIKE CRAIG,899 MIK,PELANGI,-,-,76,9789830005546,-,-,-,-,-
DATI PADUKA DR HAJAH SHARIFAH MAZLINA,499.28 DAT,BUKU PRIMA,-,-,272,9789833669981,-,-,-,-,-
AMY SUZAINI AINUDDIN,899.230 AMY,FLO ENTERPRISE,-,-,90,9789679714470,-,-,-,-,-
MARK L. CHAMBERS,005.1 MAR,WILEY,-,-,834,-,-,-,-,-,-
MAHDI SHUIB,910 MAH,VATLAS,-,-,18,9789834305987,-,-,-,-,-
DR. ABDUL BASIT ABD RAHMAN,297.3 DR.,TELAGA BIRU,-,-,256,9789675102981,-,-,-,-,-
DR. H. C. ZEN MUHAMMAD AL HADI,290 DR.,SYNERGY MEDIA,-,-,151,9789673713554,-,-,-,-,-
