PENGURUSAN SUMBER MANUSIA,AB AZIZ YUSOF,658.3 AB,PRENTICE HALL,SELANGOR,2007,447,9789833655427,-,-,-,-,-
PENIAGA TERBILANG METODE RASULULLAH SAW,BAMBANG TRIM,297 BAM,SYNERGY MEDIA,-,-,144,9789673713318,-,-,-,-,-
PENIPUAN PENUH LICIK,MARIANA ZULKIFLI,499.23 MAR,IDEA KREATIF,-,-,60,9789833628766,-,-,-,-,-
PENITIANKU,ALLAHYARHAM TUN ABDUL BGAFAR BABA,959.551 ALL,SURE FOCUS SDN BHD,-,-,175,-,-,-,-,-,-
PENJARA NURFITRAH,SUZIANA CHE WIL,899.233 SUZ,ILMU SETIA,-,-,100,9789833294145,-,-,-,-,-
"PENJELASAN PERISTIWA ISRAK DAN MIKRAJ DARI KACAMATA AHLI SUNNAH
WAL JAMAAH",AHMAD FAIDZURRAHIM HJ MOHD ALWI,297  PU,PUSTAKA HAJI ABDUL MAJID,-,-,57,9789833404773,-,-,-,-,-
PENNY AND THE GIANTS AND OTHER STORIES,ENID BLYTON,820 ENI,AWARD PUBLICATIONS LIMITED,-,-,190,9781841352084,-,-,-,-,-
PENUBUHAN PERNIAGAAN RUNCIT,JASIMAN AHMAD,499.28 JAS,JADE GREEN,-,-,64,9789831980439,-,-,-,-,-
PENULISAN CERPEN,OTHMAN PUTEH,808.300 OTH,UTUSAN PUBLICATIONS,-,-,112,9789676111333,-,-,-,-,-
PENULISAN KREATIF,OTHMAN PUTEH,889.288 PEN,UTUSAN PUBLICATIONS,-,-,132,9789676111449,-,-,-,-,-
PENULISAN SAINTIFIK,ISMAIL AHMAD,808.066 ISM,DEWAN BAHASA DAN PUSTAKA,-,-,131,9789836251015,-,-,-,-,-
PENYAIR LAUT J.M. AZIZ,ABDUL MUBIN ISMAIL,899.232 ABD,"KEMENTERIAN KEBUDAYAAN, KESENIAN DAN WARISAN MALSYIA",-,-,212,9789834198428,-,-,-,-,-
PENYAMARAN,WAN NOR SAEDAH AHMAD,899.233 WAN,SINAR CEMERLANG,-,-,132,9789675416125,-,-,-,-,-
PENYELESAIAN & MASALAH UMAT ISLAM MASA KINI,AMINA HAJI NOOR,297 AMI,PUSTAKA ILMI,-,-,128,9789830980683,-,-,-,-,-
PENYELESAIAN TEPAT PENGUASAAN PSIKOLOGI MATEMATIK,REDAKSI TANGGA PUSTAKA,511.2 RED,BIJAK IQ,-,-,167,9169673711437,-,-,-,-,-
PENYELIDIKAN PEMBANGUNAN SISTEM MAKLUMAT,ASLINA SAAD,001.4 ASL,DEWAN BAHASA DAN PUSTAKA,-,2021,157,9789834930370,-,-,-,-,-
PENYIASAT MUDA,ZULFADLI ISHAK,890 ZUL,SYNERGY MEDIA,-,-,246,9789673719792,-,-,-,-,-
PENYUKATAN DAN PENGIRAAN,DAVID JOLLANDS,503 DAV,PELANGI,-,-,64,-,-,-,-,-,-
PEPERANGAN DAN KEMANUSIAAN,MARIANA ZULKIFLI,499.23 MAR,IDEA KRATIF,-,-,60,9789833628759,-,-,-,-,-
PEPERANGAN DAN PENAKLUKAN,ZABRI ZAKARIA,499.23 ZAB,PUTAKA RUBIAH,-,-,60,9789833627622,-,-,-,-,-
PEPERANGAN DAN PENAKLUKAN,ZABRI ZAKARIA,499.23 ZAB,PUSTAKA RUBIAH,-,-,60,9789833627622,-,-,-,-,-
PERAKAUNAN DALAM PERNIAGAAN,R.J BULL,657 R.J,DEWAN BAHASA DAN PUSTAKA,-,-,531,9836201971,-,-,-,-,-
PERAKAUNAN SEKTOR AWAM,ENGKU ISMAIL ENGKU ALI,657 ENG,UUM,KEDAH,2006,-,9799833282707,-,-,-,-,-
PERAKAUNAN TEORI DAN PRAKTIS,SHAARI ISA,657 SHA,DEWAN BAHASA DAN PUSTAKA,-,-,292,9789836256423,-,-,-,-,-
PERAKAUNAN TERTINGGI,SHAARI ISA,657 SHA,DEWAN BAHASA DAN PUSTAKA,-,-,242,-,-,-,-,-,-
PERANAN BADAN PENGUAT KUASA,NOOR AZILAWATI MOHD SALEH,342 NOO,TIME EDITION,-,-,44,9789675243035,-,-,-,-,-
PERANAN MASJID DALAM ISLAM,SHAIKH ALI MOHAMMAD MOKHTAR,297.6 SHA,YAYASAN DAKWAH ISLAMIAH MALAYSIA,-,-,233,9789839878141,-,-,-,-,-
PERANAN PERTUBUHAN GLOBAL,ZABRI ZAKARIA,499.23 ZAB,PUSTAKA RUBIAH,-,-,60,9789833627646,-,-,-,-,-
PERANAN PERTUBUHAN GLOBAL,ZABRI ZAKARIAN,499.23 ZAB,PUSTAKA RUBIAH,-,-,60,9789833627646,-,-,-,-,-
PERANAN WANITA DALAM ISLAM,NOOR AZILAWATI MOHD SABDA,297 NOO,HARTAMAS,-,-,53,-,-,-,-,-,-
PERANTI INPUT,MOKHTAR AHMAD,001.640 MOK,THINKERS LIBRARY,-,-,46,9789676903389,-,-,-,-,-
PERANTI OUTPUT,MOKHTAR AHMAD,001.640 MOK,THINKERS LIBRARY,-,-,52,9789676903419,-,-,-,-,-
PERAS UGUT,RIZMAN SAMARY AHMAD,499.28 RIZ,SUMBER ILMU,-,-,36,9789833835188,-,-,-,-,-
PERAYAAN MASYARAKAT DUNIA,WAN MAIZURA WAN MAHMUD,499.23 WAN,PUSTAKA CAHAYA INTELEK,-,-,52,9789833656271,-,-,-,-,-
PERBAHASAN ISU-ISU GENDERISME,ZURINA OTHMAN,499.23 ZUR,IDEA KREATIF,-,-,60,9789833628261,-,-,-,-,-
"PERBANDINGAN PEMBEKAL BAHAN MENTAH BAGI BIHUN GORENG DI KIOSK
CIK ANA",NOORANIRA AQILA BINTI AB WAHAB,650 NOO,-,-,2023,38,-,-,-,-,-,-
PERBANKAN ISLAM TANPA FAEDAH,A.L.M. ABDUL GAFOOR,332 A.L,ITNMB,-,-,89,9789830681696,-,-,-,-,-
PERBUALAN HARIAN DALAM BAHASA INGGERIS,MOHD YUSOFF NOORDIN,428 MOH,TIGA ROS TRADING SDN BHD,MALAYSIA,2022,208,9789670951652,-,-,-,-,-
PERCINTAAN KACAMATA ISLAM,ABDUL RAHMAN AL-MUKAFFI,297 ABD,KLANG BOOK CENTRE,-,-,116,9789836101075,-,-,-,-,-
PERDAGANGAN,HABIBAH ELIAS,380 HAB,JOHORE CENTRAL STORE,-,-,197,9789839972917,-,-,-,-,-
PERDAGANGAN,LOO CHEE KUANG,899.230 LOO,MUTIARA GRAFIK,-,-,234,-,-,-,-,-,-
PERDAGANGAN DAN KEUSAHAWANAN,KHOR HOCK WENG,658.8 KHO,YAKIN,-,-,154,-,-,-,-,-,-
PERDANA MENTERI MALAYSIA KELIMA DATO'SERI ABDULLAH HAJI AHMAD BADAWI,NURUL IMAM RAMLI,923 NUR,PUSTAKA PENAMAS,-,-,50,9789839210712,-,-,-,-,-
PEREMPUAN DALAM OMBAK,NORDIN SAAD,899.233 NOR,ITBN,KUALA LUMPUR,2017,126,9789674604998,-,-,-,-,-
PERENANG BERBAKAT,AMER HAJI MATSOM,899.233 AME,PUSTAKA MURNI,-,-,155,9789830783208,-,-,-,-,-
PERGERAKAN PENGAKAP MALAYSIA,AMZA ABD MALEK,369.43 AMZ,PTS PROFESSIONAL,-,-,166,9789833585908,-,-,-,-,-
PERIBAHASA BERTEMA: ALAM TERKEMBANG JADIKAN GURU,SAIFULLIZAN YAHAYA,398.209 SAI,DEWAN BAHASA DAN PUSTAKA,-,2023,106,9789834938260,-,-,-,-,-
PERIBAHASA SEKOLAH MENENGAH,ASIAH ABDUL RAHMAN,398.2 ASI,DEWAN BAHASA DAN PUSTAKA,MALAYSIA,2018,385,9789836271303,-,-,-,-,-
PERIBAHASA YANG TERKENAL,DR. RAIS YATIM,398.2 DR.,CM DIVERSE SDN.BHD,MALAYSIA,2024,141,9789672696964,-,-,-,-,-
PERISIAN,MOKHTAR AHMAD,001.640 MOK,THINKERS LIBRARY,-,-,53,9789696903413,-,-,-,-,-
PERISTIWA TRAGIS DAN KEMANUSIAAN,ZABRI ZAKARIA,499.23 ZAB,PUSTAKA RUBIAH,-,-,60,9789833627615,-,-,-,-,-
PERJALANAN MENCARI HIKMAH,ABDULLAH HUSSAIN,305.89923 ABD,DEWAN BAHASA DAN PUSTAKA,-,-,507,9789836272584,-,-,-,-,-
PERJANJIAN & DOCUMEN LAMA MALAYSIA,-,338.9 -,INTITUSI TERJEMAHAN NEGARA MALAYSIA,-,-,239,9789830683041,-,-,-,-,-
PERJANJIAN DOKUMEN LAMA,INSTITUSI TERJEMAHAN MALAYSIA,899.232 INS,ITNM,-,-,236,9789830683058,-,-,-,-,-
PERJUANGAN PENULISAN MUDA ARAH DAN CABARAN,MOHAMAD SALEEH RAHAMAD,899.230 MOH,PENA,-,-,279,9789675485077,-,-,-,-,-
PERJUDIAN,S.OTHMAN KELANTAN,899.233 S.O,DAWAMA SDN.BHD,-,2005,228,9789836290205,-,-,-,-,-
PERJUDIAN,S. OTHMAN KELANTAN,899.233 S.,DEWAN BAHASA DAN PUSTAKA,-,-,228,9789836290205,-,-,-,-,-
PERKAHWINAN DAN PENCERAIAN DALAM ISLAM,HAJI MOHD SALEH HAJI AHMAD,297 HAJ,PUSTAKA HAJI ABDUL MAJID,-,-,375,9789833404841,-,-,-,-,-
PERKAHWINAN UMAT ISLAM,AHMAD IMAN ARIEF,297.5 AHM,SABUNAI MEDIA,-,-,64,9789832612544,-,-,-,-,-
PERKEMBANGAN FIQAH ISLAM,MOHD ASRI HASHIM,297 MOH,YAYASAN DAKWAH ISLAM,-,-,299,9789839878134,-,-,-,-,-
PERKEMBANGAN PAKAIAN,RAIHAN AHMAD,929 RAI,SEJATI,-,-,48,9789831541579,-,-,-,-,-
PERMAINAN EMOSI UNTUK LATIHAN,KANE JONES,658.3 KAN,INSTITUT TERJEMAHAN NEGARA,KUALA LUMPUR,2007,189,9789830682297,-,-,-,-,-
PERMAINAN KREATIF UNTUK GURU DAN JURULATIH,MOHD AZHAR ABD HAMID,499.28 MOH,PTS PENDIDIK,-,-,271,9789833585403,-,-,-,-,-
PERMASALAHAN REMAJA DAN KAEDAH MENGATASINYA,FAUZIAH ABD RALIP,899 FAU,PUSTAKA SEGAR,-,-,64,9789832623045,-,-,-,-,-
PERMULAAN HIDAYAH,IMAN AL-GHAZALI,297.3 IMA,THINKERS LIBRARY,-,-,135,9789676903877,-,-,-,-,-
PERNIAGAAN BRITISH DI MALAYSIA PASCAPENJAJAH 1957-70,NICHOLAS J. WHITE,330.9595 NIC,INSTITUSI TERJEMAHAN NEGARA MALAYSIA,-,-,354,9789830684024,-,-,-,-,-
PERPADUAN KAUM,NOOR RISMA SALFINA,899.233 NOO,PENAPRO SDN BHD,-,-,52,9789833272297,-,-,-,-,-
PERPADUAN MASYARAKAT BERBILANG KAUM,ZARINA SYUKOR,305.8 ZAR,PENERBIT PINANG SDN BHD,-,-,54,9789830555775,-,-,-,-,-
PERSATUAN BULAN SABIT MERAH MALAYSIA,AZMAN ABD MALEK,361 AZM,PRO FESSINAL PENDIDIKAN,-,-,149,9789833585915,-,-,-,-,-
PERSEKITARAN YANG SELAMAT,HALIMAH ABDUL RAHMAN,499.23 HAL,SEJATI,-,-,44,9789675169229,-,-,-,-,-
"PERSEPSI RESPONDEN TERHADAP KEBERKESANAN PENGURUSAN AKTIVITI DAN PERMAINAN DALAM PROGRAM HARI
TERBUKA JABATAN PERNIAGAAN ANJURAM PROGRAM PERBANKAN",NURUL ADILA SYAFIQA MOHD HAIDZIR,650 NUR,-,-,2019,85,-,-,-,-,-,-
,,,,,,,,-,-,-,-,-
PERSOALAN HARTA DAN MURAH TIPS REZEKI,MOHD HARMAIN HJ SAIDI,297.4 MOH,AYUSOFEA MARKETING,-,-,119,9789834083304,-,-,-,-,-
"PERSONAL FINANCIAL PLANNING
APPLICATION AND APPROACH FOR MALAYSIAN ENVIROMENT",NIK MAHERAN NIK MUHAMMAD,332 NIK,UITM,SELANGOR,2013,404,9789673633500,-,-,-,-,-
PERSPECTIVE MADE EASY,ERNEST R.NORLING,750 ERN,DOVER PUBLICATIONS,NEW YORK,1999,203,9780486404738,-,-,-,-,-
PERSPEKTIF BAHARU SISTEM SURIA,COMPTON'S BY BRITANNICA,523 COM,INSTITUSI TERJEMAHAN NEGARA MALAYSIA,-,-,106,9789830688411,-,-,-,-,-
PERTEMUAN ABADI,ABDULLAH HUSSAIN,899 ABD,DEWAN BAHASA DAN PUSTAKA,-,-,331,9789836270313,-,-,-,-,-
PERTUBUHAN DAN PERSIDANGAN,WAN MAIZURA WAN MAHMUD,499.23 WAN,PUSTAKA CAHAYA INTELEK,-,-,44,9789833656240,-,-,-,-,-
PERTUBUHAN PENDUDUK,JASIMAN AHMAD,304 JAS,ASSOCIATED,-,-,46,9789679489286,-,-,-,-,-
PERTUBUHAN PENDUDUK,JASIMAN AHMAD,304 JAS,ASSOCIATED,-,-,46,9789679489286,-,-,-,-,-
PERUBAHAN ALAM SEKITAR BUMI,-,333.7 -,INSTITUSI TERJEMAHAN NEGARA MALAYSIA,-,-,122,9789830688398,-,-,-,-,-
PERUBATAN DAN KESIHATAN,UITM,503 UIT,DATA PENGKATALOGAN,-,-,676,9789836269928,-,-,-,-,-
PERUSAHAAN SAWIT DI MALAYSIA  SATU PANDUAN JILID 1,A KUSHAIRI,633 A K,LEMBAGA MINYAK SAWIT MALAYSIA,SELANGOR,2021,421,9789679612356,-,-,-,-,-
PERUSAHAAN SAWIT DI MALAYSIA SATU PANDUAN JILID 2,A KUSHAIRI,633 A K,LEMBAGA MINYAK SAWIT MALAYSIA,SELANGOR,2021,387,9789679612363,-,-,-,-,-
PESAN BONDA,MARZUKI ALI,899.231 -,DAWAMA SDN.BHD,-,-,178,9789834606657,-,-,-,-,-
PETANI KAYA YANG SOMBONG DAN PETANI MISKIN YANG BAIK HATI,AHMAD RIEFQIEY,899.233 AHM,PUSTAKA ILMI,-,-,27,9789830987545,-,-,-,-,-
PETER PAN,J. M. BARRIE,428 J.,COMPASS PUBLISHING,-,-,71,9781599662237,-,-,-,-,-
PETUA DAN RAHSIA KEMURAHAN  REZEKI YANG DIBERKATI,MOHD NAJIB,297.3 MOH,JASMIN,-,-,305,9789832565758,-,-,-,-,-
PETUA MENDAPATKAN PEKERJAAN PERTAMA ANDA,OMAR ARIFF,650.14 OMA,TRUE WEALTH SDN BHD,MALAYSIA,2008,158,9789833364503,-,-,-,-,-
"PHOTOSHOP FOR 3D ARTIST, VOL 1",RICHARD TILLBURY,608 RIC,3D TOTAL PUBLISHING,-,2012,223,9780955153037,-,-,-,-,-
"PHOTOSHOP FOR 3D ARTISTS, VOL 1",RICHARD TILBURY,608 RIC,3D TOTAL PUBLISHING,-,2012,221,9780955153037,-,-,-,-,-
PHP & MYSQL ASAS DAN PERTENGAHAN,MUHAMAD RAIS ABD HALIM,005 MUH,"KOLEJ UNIVERSITI TEKNOLOGI TUN HUSSEIN
ONN",JOHOR,2006,231,9789832963424,-,-,-,-,-
PHP AND MYSQL FOR DYNAMIC WEB SITES,LARRY ULLMAN,005.1 LAR,-,-,2018,678,9780134301846,-,-,-,-,-
